tweet,date,events
"Casey était resp. de la sécurité à St. Georges. Le 5 juin 2012, il a été prévenu de la réception du colis, il a appelé la police #Magnotta",10/27/2014,
"Une infirmière a déballé le colis. Jones décrit ""l'horreur""de la découverte d'une partie de corps. Elle a prévenu la sécurité #Magnotta",10/27/2014,
"""J'étais confuse"". Colis sentait mauvais, mais ça semblait un cadeau qui m'était destiné, dit Jones. L'a envoyé à l'infirmerie #Magnotta",10/27/2014,-
"Jones dit ne pas connaître #Magnotta. Elle décrit la réception du colis, le 5 juin 2012. Colis était à son nom, ce qui était inhabituel",10/27/2014,-
"Nouveau témoin est Louise Jones, secrétaire à l'école St. Georges. Elle a reçu un autre des colis envoyés par #Magnotta",10/27/2014,-
"Le directeur de l'école False Creek, Bruce Murton, décrit à son tour la réception du colis contenant partie de corps #Magnotta",10/27/2014,-
"Chan a demandé de l'aide à une autre personne, qui a découvert la partie de corps. Elles ont prévenu le directeur #Magnotta",10/27/2014,-
Mem Chan explique qu'elle a reçu le colis envoyé à False Creek. Colis sentait mauvais. Elle l'a ouvert. #Magnotta,10/27/2014,-
Chow a elle-même fait voyage vers Montréal avec deux parties de corps. 2e partie avait été envoyée à l'école St. Georges. #Magnotta,10/27/2014,-
"Chow décrit la note manuscrite que contenait le colis, explique que la partie de corps a été envoyée à Montréal, pour l'enquête #Magnotta",10/27/2014,-
Chow décrit contenu du colis. La partie de corps qu'il contenait a été envoyée à la morgue municipale #Magnotta,10/27/2014,-
"Le colis était déjà ouvert, dans le bureau du directeur de l'école. Chow a appelé identité judiciaire pour photos #Magnotta",10/27/2014,-
"Chow explique que le 5 juin 2012, elle est allée à l'école primaire False Creek pour un colis suspect, contenant partie de corps #Magnotta",10/27/2014,-
"#Magnotta ""n'a pas eu d'attitude agressive""en ma présence, dit Robert. Et rien n'a été volé chez moi.",10/27/2014,Paris
"#Magnotta m'est apparu fébrile à 2 moments, dit Robert. Un peu le soir, mais aussi le lendemain matin, à son départ.",10/27/2014,Paris
"Robert peine à expliquer pourquoi il a invité #Magnotta à venir chez lui. Nous étions des connaissances virtuelles, pas des amis, dit-il",10/27/2014,Paris
"Me Leclair suggère qu'il était prévu que #Magnotta passe la nuit chez Robert. Témoin nie. Dit que c'était ""inattendu""",10/27/2014,Paris
Robert ne se souvient pas s'il a demandé à #Magnotta de se déshabiller. Il admet qu'il vivait en nudiste chez lui.,10/27/2014,Paris
"Avez-vous dit à #Magnotta de se déshabiller et de mettre son ligne dans la chambre à coucher? ""Pas dans la chambre à coucher""-Robert",10/27/2014,Paris
"Me Leclair s'intéresse au site PlanetRomeo, à son fonctionnement, aux catégories de recherche qu'il offre, etc. #Magnotta",10/27/2014,Paris
"""Sa pratique du français était plus que limitée"", dit Robert. Il a écrit pour lui une conjugaison de verbe sur un papier. #Magnotta",10/27/2014,Paris
"Robert ne reconnaît pas #Magnotta sur l'écran qu'il a devant lui lorsqu'il témoigne, le 25 juin 2014",10/27/2014,Paris
"Robert dit avoir réalisé par la suite, le 3 juin, que compte de #Magnotta sur PlanetRomeo avait été fermé.",10/27/2014,Paris
Robert a précisé que #Magnotta a dormi chez lui dans des dépositions subséquentes à la police.,10/27/2014,Paris
"Robert dit avoir tu cette information devant police par ""crainte""que tout cela ne se retrouve sur la place publique #Magnotta",10/27/2014,Paris
Robert admet ne pas avoir dit aux policiers français que #Magnotta avait passé la nuit chez lui au départ,10/27/2014,Paris
"La fiche disait pourquoi #Magnotta était recherché, dit Robert. Soupçonné de meurtre, précise-t-il.",10/27/2014,Paris
"Robert dit qu'il avait reconnu #Magnotta sur une photo, sur le site du Figaro. Une fiche d'Interpol en fait.",10/27/2014,Paris
"Robert a finalement prévenu la police, au commissariat de Clichy, vers 20 h, le 1er juin. Il avait appris pour #Magnotta vers midi.",10/27/2014,Paris
"J'avais deux infos à son sujet, dit Robert : l'hôtel où il logeait et le no de téléphone qu'il avait utilisé pour me contacter #Magnotta",10/27/2014,Paris
"Le vendredi 1er juin 2012, Robert a appris que #Magnotta était recherché. Il a un peu paniqué, admet-il.",10/27/2014,Paris
"Robert et #Magnotta ne se sont pas reparlés. Robert ne l'a pas recontacté, et il ne croit pas que #Magnotta a essayé non plus.",10/27/2014,Paris
"Le matin du 29 mai, #Magnotta est parti de façon ""un peu précipitée"". Il disait avoir des rendez-vous, dit Robert.",10/27/2014,Paris
"#Magnotta disait qu'il faisait de l'aide à domicile, qu'il avait un contact en France qui pouvait l'aider à se placer, dit Robert.",10/27/2014,Paris
Robert dit finalement que #Magnotta lui est paru fébrile ce soir-là.,10/27/2014,Paris
"J'ai dormi dans mon lit, #Magnotta a dormi sur le canapé, dit Robert. Ça n'était pas prévu, mais il était fatigué, explique-t-il",10/27/2014,Paris
"Des contacts physiques entre vous deux? Une poignée de main, la bise à la fin, pas de relations sexuelles selon Robert #Magnotta",10/27/2014,Paris
"Des comportements qui vous ont étonné? Non, dit Robert. Il commençait à fatiguer, prob en raison de l'alcool/décalage horaire #Magnotta",10/27/2014,Paris
"#Magnotta était cultivé, dit Robert. Il connaissait la politique européenne. Et il soignait son apparence.",10/27/2014,Paris
"#Magnotta était ""courtois"", m'a complimenté pour mon appart, m'a proposé d'enlever ses chaussures, etc. dit Robert.",10/27/2014,Paris
"Robert dit que #Magnotta ne lui a pas dit pquoi il était arrivé + tôt que 4 juin, date qu'il avait annoncée. Ne lui a pas demandé non plus",10/27/2014,Paris
"On a parlé à bâtons rompus de ces villes, ou j'avais habité, et lui aussi, selon ce qu'il disait, dit Robert. #Magnotta",10/27/2014,Paris
"""On avait des points de connaissance commun"", dit Robert. Washington, Los Angeles, Montréal, Toronto. #Magnotta",10/27/2014,Paris
"Le 28 mai 2012, probablement, on s'est rencontré chez moi, dans Clichy, dit Robert. #Magnotta est resté de 20h30 jusqu'au lendemain matin...",10/27/2014,Paris
"#Magnotta m'avait écrit par SMS ""C'est Luke. Je suis arrivé à Paris. Est-ce qu'on peut se voir?""On s'est vu rapidement, dit Robert.",10/27/2014,Paris
"""Il a pris contact avec moi une fois arrivé en France"", dit Robert. Il voulait me voir. Il était plus tôt que prévu. #Magnotta""",10/27/2014,Paris
"Robert ne peut dire quand a eu lieu cette conversation téléphonique avec #Magnotta. 3e semaine de mai, fin mai...",10/27/2014,Paris
"Finalement, selon déclaration initiale de Robert, #Magnotta utilisait pseudo Canadian22 sur site Planète Roméo.",10/27/2014,Paris
"Robert et #Magnotta se sont parlés au téléphone à un moment, brièvement. Il disait s'appeler Luke, dit Robert.",10/27/2014,Paris
"#Magnotta m'avait dit qu'il pensait s'installer en France, explique Robert. C'était imminent, dit-il. Avait entrepris des démarches.",10/27/2014,Paris
"Robert ne se souvient pas du pseudo de #Magnotta, ne peut dire qui a initié le contact. Ils ont eu 5-7 sessions d'échange, dit-il",10/27/2014,Paris
"Robert était inscrit sur site Planète Romeo sous pseudo couledoux. Il y avait un profil minimal, ne donnait pas trop de détails #Magnotta",10/27/2014,Paris
"Robert habitait à Clichy, en banlieue de Paris, en juin 2012. Il explique ses liens avec #Magnotta. L'a rencontré via site de rencontres.",10/27/2014,Paris
"La largeur de la marque et les fines lignes correspondent à un ""outil de type scie""précise Desjardins à l'avocat de #Magnotta",10/27/2014,-
"Me Leclair présente photo d'une vertèbre reçue par Desjardins, lui demande d'indiquer où est la marque de scie. #Magnotta",10/27/2014,-
Desjardins dit qu'il du serrer une vis lorsqu'il a reçu la scie pour la faire fonctionner. Elle ne sciait pas au départ Magnotta,10/27/2014,-
Me Leclair exhibe scie oscillante retrouvée dans les ordures de #Magnotta par le SPVM le 29 mai 2012.,10/27/2014,-
"Dans sa cage de verre, #Magnotta a les yeux clos. A les écouteurs qui permettent d'écouter traduction, Desjardins témoignant en français.",10/27/2014,-
"Qu'en est-il du marteau? Une marque constatée sur photo du crâne aurait pu correspondre, mais pas de certitude non plus #Magnotta",10/27/2014,-
"Aucun lien entre marques et ciseaux. La scie retrouvée pourrait avoir été utilisée sur vertèbre, mais sans certitude non plus #Magnotta",10/27/2014,-
"Desjardins n'a trouvé aucune trace de tournevis sur les os. Les couteaux pourraient avoir été utilisés, mais sans certitude #Magnotta",10/27/2014,-
"Les blessures superficielles faites par couteau/exacto ne peuvent être liés à un outil précis, dit Desjardins. #Magnotta",10/27/2014,
"Des traces de scie ont ėté constatées sur une vertèbre, précise Desjardins. #Magnotta",10/27/2014,-
"Desjardins dit que deux types de marques étaient sur les os: l'une de couteau ou exacto, l'autre fait par un ""outil de type scie""#Magnotta",10/27/2014,-
Desjardins explique avoir reçu 12 os et 6 outils dans le dossier #Magnotta. A étudié marques d'outils sur les os au microscope.,10/27/2014,-
"Desjardins a reçu os et outils pour analyse dans ce dossier le 8 septembre 2014. A rédigé rapport de 4 pages, déposé en preuve #Magnotta",10/27/2014,-
"Desjardins dit qu'il connaît l'auteure et anthropologue judiciaire Kathy Reichs, qui a travaillé au même laboratoire que lui #Magnotta",10/27/2014,-
"""Je ne suis pas un spécialiste des os, je suis un spécialiste des marques d'outils"", explique Desjardins. #Magnotta""",10/27/2014,-
"Desjardins explique avoir reçu des os du pathologiste Dazé, ainsi que des outils, pour expertise. #Magnotta",10/27/2014,-
"Desjardins explique que la balistique s'attarde à 3 éléments : armes à feu, marques d'outils et empreintes de pas #Magnotta",10/27/2014,-
"Sylvie Bordelais dit qu'elle ne reconnaît pas écriture de sa mère sur ses colis. Sa mère ne connaît pas #Magnotta, dit-elle.",10/27/2014,-
"Mme Bordelais est avocate. C'est la fille de Renée Bordelais, dont nom et adresse ont été utilisés par #Magnotta sur colis au PLC et au PCC",10/27/2014,-
Lethon a parlé à la police le 4 juin. A reconnu #Magnotta photo et bandes vidéo de l'embarquement du 31 mai 2012,10/24/2014,Paris
"#Magnotta a dit qu'il avait moins de 26 ans, a eu billet tarif réduit pour Berlin. Lethon n'a pas vérifié date de naissance dans passeport.",10/24/2014,Paris
"Plusieurs jours après, Lethon a entendu parler de l'affaire dans la presse. N'a pas fait de lien avec Kirk Trammel (#Magnotta)",10/24/2014,Paris
Lethon dit qu'il a émis billet au nom de Kirk Trammel. S'en souvient parce que prénom peu commun #Magnotta,10/24/2014,Paris
"#Magnotta a payé son billet en argent comptant. 70 ou 80 €. Il a présenté un passeport couleur bordeau, dit Lethon.",10/24/2014,Paris
"Lethon dit que #Magnotta avait apparence ""androgyne"". S'est souvenu de lui quand on lui a montré des photos.",10/24/2014,Paris
"Lethon a vendu billet aller simple vers Berlin à #Magnotta le 31 mai 2012, vers 14h-15h. Départ le jour même.",10/24/2014,Paris
"#Magnotta a refusé de manger pendant le vol. À l'atterrissage, il était au fond de l'avion. Hôtesse lui a dit qu'il ne se sentait pas bien.",10/24/2014,depart
"#Magnotta a aussi dormi pendant le vol. Sinon, il regardait vers le hublot, ajoute témoin. Je voyais peu son visage.",10/24/2014,depart
"Témoin n'a pas de souvenir que #Magnotta portait lunettes de soleil dans avion, un détail qui intéresse toujours Me Leclair.",10/24/2014,depart
Témoin dit avoir appelé Interpol après avoir eu certitude que #Magnotta avait été assis à côté de lui dans l'avion.,10/24/2014,depart
"""J'ai du mal à le reconnaître. Il a grossi. Il était très maigre""dit témoin (en date du 23 juin dernier) #Magnotta",10/24/2014,-
Témoin dit ne pas avoir reconnu #Magnotta du premier coup. Il l'a reconnu après avoir cherché photos de lui seulement,10/24/2014,-
"À l'atterrissage, il est parti assez rapidement, je ne l'ai pas revu, ajoute témoin. Il l'a reconnu qq jours plus tard, aux infos #Magnotta",10/24/2014,depart
"#Magnotta ne semblait pas ouvert à la conversation, n'a pas dit bonjour. ""J'avais pas envie de lui parler"", dit le témoin.",10/24/2014,depart
Témoin dit avoir dormi beaucoup pendant le vol. N'a pas vraiment parlé avec lui. Il ne parlait pas anglais. #Magnotta,10/24/2014,depart
"""Je le trouvais étrange, physiquement, sa façon d'être, les cheveux qui lui cachaient le visage""' dit-il au sujet de #Magnotta",10/24/2014,depart
Nouveau témoin a fait voyage à Montréal en mai 2012. Il était assis à côté de #Magnotta dans le vol d'Air Transat vers Paris.,10/24/2014,depart
"#Magnotta ""agissait normalement""dit le témoin, qui ajoute qu'il avait la ""peau brillante""...",10/24/2014,Paris
"Leclair suggère que #Magnotta s'est identifié avec une carte de l'Univ. de Toronto, retrouvée dans sa chambre. Témoin n'a pas de souvenir.",10/24/2014,Paris
"Témoin reconnaît #Magnotta, mais ""il a changé"". ""Il a grossi, il n'a pas de cheveux""' dit-il en le regardant sur l'écran (en juin dernier)",10/24/2014,-
"Témoin était présent quand police française a perquisitionnė chambre d'hôtel. Police croyait que #Magnotta y était encore, dit-il.",10/24/2014,Paris
Témoin a peu à dire sur allées et venues de #Magnotta. Il est parti en laissant sa valise. N'a rien dit à la réception,10/24/2014,Paris
"#Magnotta s'est enregistré à l'hôtel sous le nom de Kirk Trammel, dit témoin. Il croit que c'était le nom inscrit sur son passeport.",10/24/2014,Paris
"#Magnotta a payé 450 euros pour 9 jours, dit le témoin. En fait, il quittera Paris le 31 mai pour aller à Berlin.",10/24/2014,Paris
"Témoin a fait déposition le 2 juin 2012. Procès-verbal fait le même jour. Il dit avoir vu #Magnotta 1ère fois le 27 mai 2012, à son hôtel",10/24/2014,Paris
"Témoin raconte que la police est venue à l'hôtel, en son absence. Il a fait le rapprochement, les a rappelés #Magnotta",10/24/2014,Paris
Témoin dit avoir entendu parler de #Magnotta une première fois par les médias. Il était au resto de l'hôtel.,10/24/2014,Paris
"Nouveau témoin, dont le nom ne peut être publié non plus. Il travaillait à l'hôtel Summan, où a séjourné #Magnotta fin mai 2012",10/24/2014,Paris
Le témoignage a été enregistré en juin dernier. Témoin dit que #Magnotta a beaucoup engraissé en deux ans.,10/24/2014,Paris
"""Il était sympathique. Il n'avait rien de suspect""dit le témoin au sujet de #Magnotta. Il se souvient avoir reçu un pourboire de 5 €.",10/24/2014,Paris
Prochain témoin est un chauffeur de taxi français. Il a transporté #Magnotta depuis l'aéroport Charles-de-Gaulle le 27 mai 2012,10/24/2014,Paris
L'ordi de Berlin était enregistré au nom de Catherine. Me Leclair dit que c'est le nom du person. principal dans Basic Instinct #Magnotta,10/24/2014,Berlin
True Faith est la chanson entendue sur la vidéo de profanation de cadavre filmée par #Magnotta le 25 mai 2012.,10/24/2014,preuve
"La chanson True Faith a été retrouvé par Massa sur un ordi. Avait été téléchargée le 8 avril 2012, effacée le 1er juin suivant. #Magnotta",10/24/2014,preuve
"Votre opinion sur possibilité que vidéo mise en ligne l'a été à partir de l'ordi saisi à Berlin? Aucune preuve de ça, dit Massa #Magnotta",10/24/2014,preuve
"Logiciel Track Eraser Pro était sur ordi que #Magnotta trimbalait à Berlin, dit Massa. Permet notamment d'effacer historique de navigation.",10/24/2014,preuve
"Quatre photos et trois vidéos mises sur cet ordi se trouvaient également sur la carte mémoire examinée par Sarganis, dit Massa #Magnotta",10/23/2014,preuve
"Les 31 fichiers d'intérêt étaient des photos, précise Massa. Elles sont présentées dans son rapport. #Magnotta",10/23/2014,preuve
"Ces images n'étaient pas accessibles à un utilisateur, dit Massa. Il en a trouvé des traces à partir de son expertise poussée. #Magnotta",10/23/2014,preuve
"Massa explique avoir récupéré 31 fichiers d'intérêt sur cet ordi, dont certains montrent démembrement selon lui. #Magnotta",10/23/2014,preuve
L'appareil numérique dont Sarganis a parlé plus tôt avait été branché dans cet ordi. Connecté une 1ère fois en février 2012. #Magnotta,10/23/2014,preuve
"Un système d'exploitation avait été installé sur ce 2e ordi, un Acer, en février 2012. Nom d'enregistrement: Catherine. #Magnotta",10/23/2014,preuve
"2e ordi examiné par Massa était celui saisi à Berlin (en fait, il a travaillé à partir d'une copie du disque dur pour être exact) #Magnotta",10/23/2014,preuve
"L'historique de navigation a été extrait de l'ordi, dit Massa. Données remises aux enquêteurs ensuite. #Magnotta",10/23/2014,preuve
"Sur l'ordi, Massa a notamment retrouvé un logiciel permettant de brouiller l'adresse IP de l'ordinateur #Magnotta",10/23/2014,preuve
Massa aussi trouvé deux logiciels qui permettent d'effacer les traces qu'un utilisateur laisse sur Internet. #Magnotta,10/23/2014,preuve
Massa dit avoir réalisé que plusieurs adresses de courriel avaient été utilisées sur cet ordinateur #Magnotta,10/23/2014,preuve
"L'ordinateur retrouvé dans les vidanges avait été utilisé une dernière fois le 25 février 2012, selon Massa. #Magnotta",10/23/2014,preuve
1er ordinateur examiné par Massa: celui retrouvé dans les vidanges le 29 mai 2012. Objectif: trouver son propriétaire. #Magnotta,10/23/2014,preuve
Massa précise en fait s'être penché sur deux ordinateurs dans l'affaire #Magnotta,10/23/2014,preuve
Massa est le policier qui s'est penché sur l'ordinateur portatif de #Magnotta saisi par des policiers allemands à Berlin.,10/23/2014,preuve
Leclair résume : 12 vidéos et 20 photos prises par #Magnotta le 25 mai 2012 l'ont été sur une période d'env. 3 heures.,10/23/2014,preuve
"Leclair note que sur une vidéo de profanation, on voit #Magnotta porter bague au majeur droit, comme sur des photos prises qq jours + tôt",10/23/2014,preuve
"Me Leclair fait rejouer chaque vidéo, demande à Sarganis de décrire ce qu'il voit. Exercice fastidieux, voire pénible #Magnotta",10/23/2014,preuve
"Pour une Xe fois, Sarganis explique à Me Leclair qu'il ne peut déterminer l'heure où images ont été prises. Seulement la journée #Magnotta",10/23/2014,preuve
"Luka Rocco #Magnotta a toujours la tête basse dans sa cage de verre. Fixe le sol, ne regarde pas les vidéos.",10/23/2014,-
"Me Leclair présente à nouveau photos/vidéos du 25 mai 2012. S'intéresse à leur chronologie, temps qui s'écoule entre deux #Magnotta",10/23/2014,preuve
L'avocat de #Magnotta veut d'abord revenir sur des photos prises le 21 mai 2012: on voit #Magnotta accroupi sur un terrain gazonné,10/23/2014,preuve
"Depuis un bon moment, Me Leclair s'intéresse aux photos et vidéos du 19 mai 2012. #Magnotta chez lui avec autre homme non identifié",10/23/2014,preuve
"#Magnotta se déplace avec son appareil numérique pour filmer, tel un réalisateur. Parfois, la caméra a été déposée sur endroit stable.",10/23/2014,preuve
